Date,Hour,Temperature (°C),Humidity (%),Precipitation (mm),AQI (US)
2025-01-30,00:00,27.0,38,0.0,3
2025-01-30,01:00,26.4,39,0.0,3
2025-01-30,02:00,25.9,39,0.0,4
2025-01-30,03:00,25.4,41,0.0,4
2025-01-30,04:00,25.0,42,0.0,4
2025-01-30,05:00,24.6,43,0.0,4
2025-01-30,06:00,24.2,44,0.0,4
2025-01-30,07:00,23.8,46,0.0,4
2025-01-30,08:00,24.7,43,0.0,4
2025-01-30,09:00,26.4,39,0.0,3
2025-01-30,10:00,26.4,48,0.0,3
2025-01-30,11:00,29.7,32,0.0,3
2025-01-30,12:00,30.9,29,0.0,3
2025-01-30,13:00,32.0,27,0.0,3
2025-01-30,14:00,32.9,25,0.0,3
2025-01-30,15:00,33.3,24,0.0,3
2025-01-30,16:00,33.2,24,0.0,3
2025-01-30,17:00,32.8,25,0.0,3
2025-01-30,18:00,31.6,28,0.0,3
2025-01-30,19:00,30.2,32,0.0,3
2025-01-30,20:00,28.8,37,0.0,3
2025-01-30,21:00,28.1,42,0.0,3
2025-01-30,22:00,27.5,47,0.0,4
2025-01-30,23:00,26.8,54,0.0,4
2025-01-31,00:00,26.1,62,0.0,4
2025-01-31,01:00,25.7,64,0.0,4
2025-01-31,02:00,25.4,64,0.0,4
2025-01-31,03:00,25.2,65,0.0,4
2025-01-31,04:00,24.9,67,0.0,4
2025-01-31,05:00,24.7,70,0.0,4
2025-01-31,06:00,24.5,72,0.0,4
2025-01-31,07:00,24.4,73,0.0,4
2025-01-31,08:00,25.6,67,0.0,4
2025-01-31,09:00,27.3,57,0.0,4
2025-01-31,10:00,29.1,48,0.0,4
2025-01-31,11:00,30.5,42,0.0,4
2025-01-31,12:00,31.7,37,0.0,4
2025-01-31,13:00,32.6,34,0.0,4
2025-01-31,14:00,33.3,31,0.0,4
2025-01-31,15:00,33.5,30,0.0,4
2025-01-31,16:00,33.2,31,0.0,4
2025-01-31,17:00,32.0,33,0.0,4
2025-01-31,18:00,30.3,36,0.0,4
2025-01-31,19:00,29.1,40,0.0,4
2025-01-31,20:00,28.5,44,0.0,4
2025-01-31,21:00,27.7,52,0.0,4
2025-01-31,22:00,26.9,62,0.0,4
2025-01-31,23:00,26.5,66,0.0,4
2025-02-01,00:00,26.2,68,0.0,4
2025-02-01,01:00,26.0,67,0.0,4
2025-02-01,02:00,25.7,69,0.0,4
2025-02-01,03:00,25.4,71,0.0,5
2025-02-01,04:00,25.1,74,0.0,5
2025-02-01,05:00,24.9,75,0.0,5
2025-02-01,06:00,24.8,77,0.0,5
2025-02-01,07:00,24.7,77,0.0,5
2025-02-01,08:00,25.8,71,0.0,5
2025-02-01,09:00,27.7,60,0.0,4
2025-02-01,10:00,29.6,51,0.0,4
2025-02-01,11:00,31.2,44,0.0,4
2025-02-01,12:00,32.4,39,0.0,4
2025-02-01,13:00,33.1,36,0.0,4
2025-02-01,14:00,33.9,33,0.0,4
2025-02-01,15:00,34.2,31,0.0,4
2025-02-01,16:00,34.0,31,0.0,4
2025-02-01,17:00,33.3,32,0.0,4
2025-02-01,18:00,31.4,36,0.0,4
2025-02-01,19:00,29.4,45,0.0,4
2025-02-01,20:00,28.4,51,0.0,4
2025-02-01,21:00,27.8,56,0.0,4
2025-02-01,22:00,27.0,65,0.0,4
2025-02-01,23:00,26.7,68,0.0,5
