Date,Hour,Temperature (°C),Humidity (%),Precipitation (mm),AQI (US)
2025-01-30,00:00,-3.1,39,0.0,4
2025-01-30,01:00,-3.3,39,0.0,4
2025-01-30,02:00,-3.6,40,0.0,5
2025-01-30,03:00,-3.9,41,0.0,6
2025-01-30,04:00,-4.3,42,0.0,6
2025-01-30,05:00,-4.6,44,0.0,6
2025-01-30,06:00,-4.9,45,0.0,6
2025-01-30,07:00,-5.1,46,0.0,6
2025-01-30,08:00,-5.2,49,0.0,6
2025-01-30,09:00,-4.8,53,0.0,6
2025-01-30,10:00,-4.5,60,0.01,5
2025-01-30,11:00,-3.0,28,0.02,5
2025-01-30,12:00,-3.0,57,0.01,5
2025-01-30,13:00,-2.2,54,0.01,5
2025-01-30,14:00,-1.6,52,0.0,5
2025-01-30,15:00,-1.3,52,0.0,5
2025-01-30,16:00,-1.2,55,0.0,6
2025-01-30,17:00,-1.4,58,0.0,5
2025-01-30,18:00,-1.7,64,0.01,4
2025-01-30,19:00,-2.1,72,0.06,4
2025-01-30,20:00,-2.4,79,0.08,4
2025-01-30,21:00,-2.7,80,0.1,4
2025-01-30,22:00,-2.9,76,0.1,4
2025-01-30,23:00,-3.4,70,0.05,4
2025-01-31,00:00,-3.9,68,0.03,4
2025-01-31,01:00,-4.1,66,0.01,4
2025-01-31,02:00,-4.3,66,0.01,4
2025-01-31,03:00,-4.5,67,0.0,4
2025-01-31,04:00,-4.7,67,0.0,4
2025-01-31,05:00,-4.8,67,0.0,4
2025-01-31,06:00,-5.0,67,0.0,4
2025-01-31,07:00,-5.1,67,0.0,4
2025-01-31,08:00,-5.0,66,0.0,4
2025-01-31,09:00,-4.3,63,0.0,4
2025-01-31,10:00,-3.2,59,0.0,4
2025-01-31,11:00,-2.1,55,0.0,4
2025-01-31,12:00,-1.2,51,0.0,4
2025-01-31,13:00,-0.4,48,0.0,4
2025-01-31,14:00,-0.0,46,0.0,4
2025-01-31,15:00,0.1,45,0.0,4
2025-01-31,16:00,0.1,45,0.0,5
2025-01-31,17:00,-0.4,47,0.0,4
2025-01-31,18:00,-0.8,48,0.0,4
2025-01-31,19:00,-1.0,49,0.0,4
2025-01-31,20:00,-1.2,50,0.0,4
2025-01-31,21:00,-1.3,51,0.0,4
2025-01-31,22:00,-1.5,51,0.0,4
2025-01-31,23:00,-1.6,52,0.0,4
2025-02-01,00:00,-1.9,53,0.0,4
2025-02-01,01:00,-2.1,55,0.0,4
2025-02-01,02:00,-2.3,57,0.0,6
2025-02-01,03:00,-2.6,59,0.0,6
2025-02-01,04:00,-2.8,60,0.0,6
2025-02-01,05:00,-3.0,61,0.0,6
2025-02-01,06:00,-3.1,61,0.0,6
2025-02-01,07:00,-3.3,62,0.0,6
2025-02-01,08:00,-3.3,62,0.0,6
2025-02-01,09:00,-2.8,60,0.0,6
2025-02-01,10:00,-2.1,58,0.0,6
2025-02-01,11:00,-1.3,55,0.0,6
2025-02-01,12:00,-0.5,53,0.0,6
2025-02-01,13:00,0.2,51,0.0,6
2025-02-01,14:00,0.7,50,0.0,6
2025-02-01,15:00,1.1,49,0.0,6
2025-02-01,16:00,1.3,49,0.0,6
2025-02-01,17:00,0.9,52,0.0,6
2025-02-01,18:00,0.0,55,0.0,6
2025-02-01,19:00,-0.2,57,0.0,5
2025-02-01,20:00,-0.4,58,0.0,4
2025-02-01,21:00,-0.5,58,0.0,4
2025-02-01,22:00,-0.7,59,0.0,4
2025-02-01,23:00,-0.8,59,0.0,4
