Date,Hour,Temperature (°C),Humidity (%),Precipitation (mm),AQI (US)
2025-01-30,00:00,6.1,88,0.0,3
2025-01-30,01:00,5.9,88,0.0,3
2025-01-30,02:00,5.9,87,0.0,3
2025-01-30,03:00,5.7,87,0.0,3
2025-01-30,04:00,5.6,86,0.0,3
2025-01-30,05:00,5.5,85,0.0,3
2025-01-30,06:00,5.3,84,0.0,3
2025-01-30,07:00,5.1,83,0.0,3
2025-01-30,08:00,5.1,82,0.0,3
2025-01-30,09:00,5.5,78,0.0,3
2025-01-30,10:00,6.3,73,0.0,3
2025-01-30,11:00,7.3,68,0.0,3
2025-01-30,12:00,8.2,65,0.0,3
2025-01-30,13:00,8.7,63,0.0,3
2025-01-30,14:00,8.8,63,0.0,3
2025-01-30,15:00,8.7,64,0.0,3
2025-01-30,16:00,8.1,68,0.0,3
2025-01-30,17:00,7.8,71,0.0,3
2025-01-30,18:00,7.6,73,0.0,3
2025-01-30,19:00,7.5,74,0.0,3
2025-01-30,20:00,7.2,77,0.0,3
2025-01-30,21:00,7.0,78,0.0,4
2025-01-30,22:00,7.0,81,0.0,4
2025-01-30,23:00,6.9,83,0.01,4
2025-01-31,00:00,6.7,86,0.05,3
2025-01-31,01:00,6.6,88,0.0,3
2025-01-31,02:00,6.4,90,0.0,3
2025-01-31,03:00,6.3,91,0.0,3
2025-01-31,04:00,6.1,93,0.0,3
2025-01-31,05:00,5.9,94,0.0,3
2025-01-31,06:00,5.8,95,0.0,3
2025-01-31,07:00,5.7,96,0.05,3
2025-01-31,08:00,5.8,95,0.05,3
2025-01-31,09:00,5.9,94,0.0,3
2025-01-31,10:00,6.3,90,0.01,3
2025-01-31,11:00,6.9,87,0.0,3
2025-01-31,12:00,7.2,85,0.0,3
2025-01-31,13:00,7.3,85,0.01,3
2025-01-31,14:00,7.1,87,0.11,2
2025-01-31,15:00,6.7,91,0.33,2
2025-01-31,16:00,6.6,94,0.19,2
2025-01-31,17:00,6.7,95,0.15,2
2025-01-31,18:00,6.7,96,0.11,2
2025-01-31,19:00,6.7,97,0.07,3
2025-01-31,20:00,6.7,97,0.03,3
2025-01-31,21:00,6.7,97,0.05,3
2025-01-31,22:00,6.7,97,0.1,3
2025-01-31,23:00,6.8,97,0.07,3
2025-02-01,00:00,6.7,97,0.01,3
2025-02-01,01:00,6.7,96,0.01,3
2025-02-01,02:00,6.7,96,0.0,4
2025-02-01,03:00,6.6,96,0.03,3
2025-02-01,04:00,6.5,96,0.02,3
2025-02-01,05:00,6.4,96,0.01,2
2025-02-01,06:00,6.2,96,0.03,2
2025-02-01,07:00,6.1,96,0.06,1
2025-02-01,08:00,6.0,95,0.0,1
2025-02-01,09:00,6.0,93,0.0,1
2025-02-01,10:00,6.4,90,0.0,2
2025-02-01,11:00,7.1,86,0.0,2
2025-02-01,12:00,7.3,83,0.01,2
2025-02-01,13:00,6.9,85,0.01,2
2025-02-01,14:00,6.5,85,0.01,2
2025-02-01,15:00,6.2,84,0.0,2
2025-02-01,16:00,5.9,84,0.0,2
2025-02-01,17:00,5.8,81,0.0,N/A
2025-02-01,18:00,5.7,79,0.0,N/A
2025-02-01,19:00,5.7,76,0.0,N/A
2025-02-01,20:00,5.7,70,0.0,N/A
2025-02-01,21:00,5.1,72,0.03,N/A
2025-02-01,22:00,3.3,88,0.02,N/A
2025-02-01,23:00,3.1,87,0.01,N/A
