Date,Hour,Temperature (°C),Humidity (%),Precipitation (mm),AQI (US)
2025-01-30,00:00,5.4,86,0.01,1
2025-01-30,01:00,5.2,86,0.0,1
2025-01-30,02:00,5.3,86,0.0,1
2025-01-30,03:00,5.3,81,0.0,1
2025-01-30,04:00,5.3,83,0.0,1
2025-01-30,05:00,5.2,79,0.0,1
2025-01-30,06:00,5.0,78,0.0,1
2025-01-30,07:00,4.8,78,0.0,1
2025-01-30,08:00,4.1,77,0.0,1
2025-01-30,09:00,4.1,73,0.0,1
2025-01-30,10:00,4.9,67,0.0,1
2025-01-30,11:00,5.7,62,0.0,1
2025-01-30,12:00,6.5,57,0.0,1
2025-01-30,13:00,7.0,55,0.0,1
2025-01-30,14:00,7.2,55,0.0,1
2025-01-30,15:00,7.0,56,0.0,1
2025-01-30,16:00,6.4,60,0.0,1
2025-01-30,17:00,5.3,66,0.0,1
2025-01-30,18:00,4.8,69,0.0,2
2025-01-30,19:00,4.4,72,0.0,2
2025-01-30,20:00,4.0,73,0.0,2
2025-01-30,21:00,3.6,74,0.0,2
2025-01-30,22:00,3.3,75,0.0,3
2025-01-30,23:00,3.2,75,0.0,3
2025-01-31,00:00,3.1,74,0.0,3
2025-01-31,01:00,2.9,75,0.0,3
2025-01-31,02:00,2.7,75,0.0,3
2025-01-31,03:00,2.9,73,0.03,3
2025-01-31,04:00,2.9,75,0.03,2
2025-01-31,05:00,2.9,76,0.0,2
2025-01-31,06:00,3.0,75,0.0,2
2025-01-31,07:00,3.1,74,0.0,2
2025-01-31,08:00,3.2,73,0.0,2
2025-01-31,09:00,3.6,70,0.0,2
2025-01-31,10:00,4.3,66,0.0,2
2025-01-31,11:00,4.8,62,0.0,2
2025-01-31,12:00,5.6,59,0.0,1
2025-01-31,13:00,6.2,57,0.0,1
2025-01-31,14:00,6.7,55,0.0,1
2025-01-31,15:00,6.8,56,0.0,1
2025-01-31,16:00,6.2,60,0.0,1
2025-01-31,17:00,5.2,66,0.0,1
2025-01-31,18:00,4.8,69,0.0,2
2025-01-31,19:00,4.3,72,0.0,2
2025-01-31,20:00,4.0,73,0.0,2
2025-01-31,21:00,3.6,73,0.0,2
2025-01-31,22:00,3.3,73,0.0,2
2025-01-31,23:00,3.0,72,0.0,2
2025-02-01,00:00,2.7,73,0.0,2
2025-02-01,01:00,2.5,73,0.0,2
2025-02-01,02:00,2.3,74,0.0,2
2025-02-01,03:00,2.2,76,0.0,2
2025-02-01,04:00,2.0,77,0.0,3
2025-02-01,05:00,1.8,78,0.0,3
2025-02-01,06:00,1.7,78,0.0,2
2025-02-01,07:00,1.6,78,0.0,1
2025-02-01,08:00,1.6,79,0.0,1
2025-02-01,09:00,2.4,77,0.0,2
2025-02-01,10:00,4.0,70,0.0,2
2025-02-01,11:00,5.3,63,0.0,2
2025-02-01,12:00,6.2,56,0.0,3
2025-02-01,13:00,6.8,51,0.0,N/A
2025-02-01,14:00,7.0,48,0.0,N/A
2025-02-01,15:00,6.9,49,0.0,N/A
2025-02-01,16:00,6.1,54,0.0,N/A
2025-02-01,17:00,4.7,61,0.0,N/A
2025-02-01,18:00,4.1,65,0.0,N/A
2025-02-01,19:00,3.6,68,0.0,N/A
2025-02-01,20:00,3.1,70,0.0,N/A
2025-02-01,21:00,2.7,70,0.0,N/A
2025-02-01,22:00,2.3,70,0.0,N/A
2025-02-01,23:00,2.0,69,0.0,N/A
