Date,Hour,Temperature (°C),Humidity (%),Precipitation (mm),AQI (US)
2025-01-29,00:00,0.5,80,0.0,2
2025-01-29,01:00,0.7,81,0.0,2
2025-01-29,02:00,0.7,80,0.0,2
2025-01-29,03:00,0.7,79,0.0,2
2025-01-29,04:00,0.5,79,0.0,2
2025-01-29,05:00,0.3,80,0.0,2
2025-01-29,06:00,0.5,81,0.0,2
2025-01-29,07:00,0.7,78,0.0,2
2025-01-29,08:00,0.9,78,0.0,2
2025-01-29,09:00,1.2,79,0.0,2
2025-01-29,10:00,1.7,78,0.0,2
2025-01-29,11:00,2.7,76,0.0,2
2025-01-29,12:00,3.5,72,0.0,1
2025-01-29,13:00,4.8,62,0.0,1
2025-01-29,14:00,4.9,55,0.0,1
2025-01-29,15:00,4.7,53,0.0,1
2025-01-29,16:00,4.3,52,0.0,1
2025-01-29,17:00,3.5,52,0.0,1
2025-01-29,18:00,2.7,50,0.0,1
2025-01-29,19:00,2.1,49,0.0,1
2025-01-29,20:00,1.1,48,0.0,1
2025-01-29,21:00,0.2,53,0.0,1
2025-01-29,22:00,2.8,37,0.0,1
2025-01-29,23:00,-1.6,46,0.0,1
2025-01-30,00:00,-2.6,53,0.0,1
2025-01-30,01:00,-3.5,51,0.0,1
2025-01-30,02:00,-4.4,49,0.0,1
2025-01-30,03:00,-5.0,50,0.0,1
2025-01-30,04:00,-5.6,51,0.0,1
2025-01-30,05:00,-6.1,52,0.0,1
2025-01-30,06:00,-6.5,54,0.0,1
2025-01-30,07:00,-6.8,55,0.0,1
2025-01-30,08:00,-5.9,56,0.0,1
2025-01-30,09:00,-4.9,54,0.0,1
2025-01-30,10:00,-3.8,52,0.0,1
2025-01-30,11:00,-2.6,51,0.0,1
2025-01-30,12:00,-1.6,50,0.0,1
2025-01-30,13:00,-0.7,49,0.0,2
2025-01-30,14:00,0.2,48,0.0,2
2025-01-30,15:00,0.9,50,0.0,2
2025-01-30,16:00,1.5,50,0.0,2
2025-01-30,17:00,0.8,51,0.0,2
2025-01-30,18:00,-0.1,57,0.0,2
2025-01-30,19:00,-1.0,60,0.0,2
2025-01-30,20:00,-1.5,63,0.0,2
2025-01-30,21:00,-1.8,66,0.0,2
2025-01-30,22:00,-1.5,67,0.0,2
2025-01-30,23:00,-1.7,57,0.0,2
2025-01-31,00:00,-1.8,70,0.0,2
2025-01-31,01:00,-1.9,71,0.0,2
2025-01-31,02:00,-1.6,72,0.0,2
2025-01-31,03:00,-1.3,74,0.0,2
2025-01-31,04:00,-1.1,75,0.0,2
2025-01-31,05:00,-0.6,76,0.0,2
2025-01-31,06:00,-0.1,87,0.0,2
2025-01-31,07:00,0.3,92,0.0,2
2025-01-31,08:00,0.8,97,0.0,2
2025-01-31,09:00,1.2,98,1.36,2
2025-01-31,10:00,1.5,98,2.04,2
2025-01-31,11:00,2.0,98,2.72,2
2025-01-31,12:00,2.4,99,5.65,2
2025-01-31,13:00,2.7,99,7.11,2
2025-01-31,14:00,2.4,99,8.57,2
2025-01-31,15:00,2.3,99,1.8,2
2025-01-31,16:00,2.3,99,0.29,1
2025-01-31,17:00,2.4,99,0.07,2
2025-01-31,18:00,2.3,99,0.21,2
2025-01-31,19:00,2.4,99,0.14,2
2025-01-31,20:00,2.6,99,0.01,2
2025-01-31,21:00,2.9,99,0.18,2
2025-01-31,22:00,0.4,100,0.0,2
2025-01-31,23:00,2.0,69,0.0,2
